Year,Month,Stock_lag_MV,Stock_Ew_Ret,Stock_Vw_Ret
1939,7,33340.36869,0.134232053,0.102221806
1939,8,36610.30844,-0.105664374,-0.0668339
1939,9,34008.70219,0.394228857,0.168865481
1939,10,39614.11119,-0.006964712,-0.005259532
1939,11,39365.69263,-0.080684858,-0.036203129
1939,12,37618.55125,0.01730741,0.030294774
1940,1,38546.37256,-0.020079464,-0.024096396
1940,2,37680.11506,0.030133815,0.014438959
1940,3,38047.27038,0.026939555,0.020460617
1940,4,38702.58938,0.01381621,0.002163455
1940,5,38729.25078,-0.268236537,-0.219628973
1940,6,30019.79197,0.06583487,0.066732505
1940,7,31867.06947,0.036888295,0.031740884
1940,8,32833.27928,0.020448201,0.021857748
1940,9,33327.29091,0.036242085,0.023920302
1940,10,34002.18644,0.046610966,0.030231654
1940,11,34975.32934,-0.001864937,-0.016098046
1940,12,34096.79931,-0.018781369,0.006935817
1941,1,34190.43599,-0.006922659,-0.041774412
1941,2,32745.93197,-0.018963657,-0.014374755
1941,3,32074.84915,0.01450141,0.008552159
1941,4,32176.83403,-0.057036799,-0.054622757
1941,5,30368.0478,0.009555207,0.013893841
1941,6,30554.59153,0.065116451,0.05833809
1941,7,32128.86343,0.128963779,0.058958752
1941,8,33984.6023,-0.008327846,-0.001684377
1941,9,33746.93621,-0.020202227,-0.008653898
1941,10,33303.15022,-0.062406362,-0.052477873
1941,11,31511.53319,-0.034482243,-0.019177296
1941,12,30498.27914,-0.081913654,-0.048639607
1942,1,28845.16772,0.133585101,0.008100861
1942,2,29026.51527,-0.017398636,-0.024484247
1942,3,28137.02017,-0.048252193,-0.065667007
1942,4,26112.15102,-0.046261134,-0.043643605
1942,5,24927.33316,0.028406847,0.059630531
1942,6,26229.98225,0.025100358,0.027188175
1942,7,26743.01504,0.045704939,0.035361422
1942,8,27615.80966,0.028342633,0.018246915
1942,9,27956.32556,0.047942114,0.026346229
1942,10,28524.44643,0.09997171,0.068457819
1942,11,30410.35849,-0.014876328,0.001780442
1942,12,30155.98247,0.034917672,0.051473282
1943,1,31457.96475,0.167952561,0.071579003
1943,2,33675.546,0.131953809,0.061743076
1943,3,35607.78613,0.111174603,0.060433492
1943,4,37567.75294,0.035353638,0.008428698
1943,5,37820.24657,0.084941841,0.057586395
1943,6,39797.20281,0.010819105,0.018459102
1943,7,40336.96206,-0.063983696,-0.04739181
1943,8,39020.34838,0.003351773,0.013330242
1943,9,39223.63006,0.034878947,0.024234709
1943,10,39978.31654,-0.003319875,-0.011179687
1943,11,39597.531,-0.087190009,-0.058769116
1943,12,36971.08974,0.096259074,0.063605527
1944,1,38934.93516,0.045446439,0.01766431
1944,2,39792.11869,0.012874637,0.003976306
1944,3,39768.60071,0.041335746,0.024914772
1944,4,40559.29309,-0.029065108,-0.01659048
1944,5,39847.83763,0.065106899,0.050792165
1944,6,41602.14449,0.104632971,0.055218008
1944,7,43739.59091,-0.012905988,-0.014593997
1944,8,43072.14075,0.030542428,0.015958372
1944,9,43567.53519,0.000132425,0.000321693
1944,10,43449.11219,-0.000291684,0.001877199
1944,11,43470.16869,0.023415952,0.01741671
1944,12,43847.55453,0.068301886,0.040509465
1945,1,45891.14925,0.043877797,0.020390738
1945,2,46885.67231,0.085183299,0.062486839
1945,3,49609.97469,-0.056081114,-0.038688466
1945,4,47504.67425,0.088194731,0.078123274
1945,5,51192.42738,0.029836544,0.017595733
1945,6,52024.59963,0.036569074,0.004108007
1945,7,52080.792,-0.034254888,-0.021391602
1945,8,50962.57913,0.065961747,0.062292266
1945,9,53915.95075,0.062413387,0.047928782
1945,10,56329.67094,0.064531089,0.039210785
1945,11,58551.84806,0.096212972,0.054123379
1945,12,61393.08581,0.023753071,0.012259354
1946,1,62901.42288,0.093275372,0.062691539
1946,2,67168.40569,-0.065898046,-0.057965866
1946,3,63133.127,0.057918916,0.059005815
1946,4,66781.05,0.052258317,0.042556807
1946,5,69677.21775,0.054312354,0.039628277
1946,6,72520.516,-0.048480149,-0.038606585
1946,7,69564.91769,-0.040577851,-0.026599302
1946,8,68013.05869,-0.074931055,-0.064123426
1946,9,63483.22044,-0.134543585,-0.101312283
1946,10,56887.22656,-0.011902984,-0.014063045
